sequence_id,dataset,sample_id,date
c_01,continuous_spectra,sand,2025-05-20
c_02,continuous_spectra,ps,2025-06-10
c_03,continuous_spectra,test_tube,2025-06-10
c_04,continuous_spectra,pehd_blue,2025-06-12
c_05,continuous_spectra,pehd_blue,2025-06-12
c_06,continuous_spectra,pe,2025-06-12
c_07,continuous_spectra,pe,2025-06-17
c_08,continuous_spectra,pp,2025-06-17
c_09,continuous_spectra,pp,2025-06-17
c_10,continuous_spectra,wood,2025-06-17
c_11,continuous_spectra,test_tube,2025-07-10
c_12,continuous_spectra,pvc,2025-07-10
c_13,continuous_spectra,pvc,2025-07-10
c_14,continuous_spectra,ps,2025-07-10
c_15,continuous_spectra,sand,2025-07-10
c_16,continuous_spectra,wood,2025-07-10
c_17,continuous_spectra,pehd,2025-07-10
c_18,continuous_spectra,pehd,2025-07-10
c_19,continuous_spectra,pp_green,2025-07-10
c_20,continuous_spectra,pp_green,2025-07-10
c_21,continuous_spectra,pp_orange,2025-07-10
c_22,continuous_spectra,pp_orange,2025-07-10
c_23,continuous_spectra,pp_pink,2025-07-10
c_24,continuous_spectra,pp_pink,2025-07-10
c_25,continuous_spectra,pp_yellow,2025-07-10
c_26,continuous_spectra,pp_yellow,2025-07-10
c_27,continuous_spectra,ps_blue,2025-07-10
c_28,continuous_spectra,ps_blue,2025-07-10
c_29,continuous_spectra,ps_red,2025-07-10
c_30,continuous_spectra,ps_red,2025-07-10
c_31,continuous_spectra,ps_yellow,2025-07-10
c_32,continuous_spectra,ps_yellow,2025-07-10
c_33,continuous_spectra,pet,2025-07-10
c_34,continuous_spectra,pet,2025-07-10
c_35,continuous_spectra,microscope_slide,2025-07-10
c_36,continuous_spectra,microscope_slide,2025-07-10
c_37,continuous_spectra,microscope_slide,2025-07-10
