measurement_id,dataset,sample_id,position_mm,date
f_001,fixed_spectra,pe,217.3,2025-02-18
f_002,fixed_spectra,pet,226.2,2025-02-18
f_003,fixed_spectra,pp,238.9,2025-02-18
f_004,fixed_spectra,ps,249.3,2025-02-18
f_005,fixed_spectra,pvc,260.0,2025-02-18
f_006,fixed_spectra,microscope_slide,270.8,2025-02-18
f_007,fixed_spectra,pp,33.0,2025-02-20
f_008,fixed_spectra,pp,42.7,2025-02-20
f_009,fixed_spectra,pp,53.0,2025-02-20
f_010,fixed_spectra,pp,64.4,2025-02-20
f_011,fixed_spectra,pp,74.3,2025-02-20
f_012,fixed_spectra,pp,85.6,2025-02-20
f_013,fixed_spectra,pp,124.7,2025-02-20
f_014,fixed_spectra,pp,135.3,2025-02-20
f_015,fixed_spectra,pp,146.9,2025-02-20
f_016,fixed_spectra,pp,156.9,2025-02-20
f_017,fixed_spectra,pp,166.9,2025-02-20
f_018,fixed_spectra,pp,177.0,2025-02-20
f_019,fixed_spectra,pp,217.6,2025-02-20
f_020,fixed_spectra,pp,226.0,2025-02-20
f_021,fixed_spectra,pp,237.7,2025-02-20
f_022,fixed_spectra,pp,248.0,2025-02-20
f_023,fixed_spectra,pp,260.4,2025-02-20
f_024,fixed_spectra,microscope_slide,271.1,2025-02-20
f_025,fixed_spectra,pp,33.0,2025-02-20
f_026,fixed_spectra,pp,42.7,2025-02-20
f_027,fixed_spectra,pp,53.0,2025-02-20
f_028,fixed_spectra,pp,64.4,2025-02-20
f_029,fixed_spectra,pp,75.4,2025-02-20
f_030,fixed_spectra,pp,85.6,2025-02-20
f_031,fixed_spectra,pp,124.7,2025-02-20
f_032,fixed_spectra,pp,135.5,2025-02-20
f_033,fixed_spectra,pp,146.9,2025-02-20
f_034,fixed_spectra,pp,156.9,2025-02-20
f_035,fixed_spectra,pp,165.6,2025-02-20
f_036,fixed_spectra,pp,177.0,2025-02-20
f_037,fixed_spectra,pp,217.6,2025-02-20
f_038,fixed_spectra,pp,226.0,2025-02-20
f_039,fixed_spectra,pp,237.7,2025-02-20
f_040,fixed_spectra,pp,248.0,2025-02-20
f_041,fixed_spectra,pp,259.8,2025-02-20
f_042,fixed_spectra,microscope_slide,271.0,2025-02-20
f_043,fixed_spectra,pvc,31.9,2025-03-13
f_044,fixed_spectra,pvc,42.5,2025-03-13
f_045,fixed_spectra,pvc,52.4,2025-03-13
f_046,fixed_spectra,pvc,63.2,2025-03-13
f_047,fixed_spectra,pvc,74.3,2025-03-13
f_048,fixed_spectra,pvc,85.5,2025-03-13
f_049,fixed_spectra,pvc,123.1,2025-03-13
f_050,fixed_spectra,pvc,133.6,2025-03-13
f_051,fixed_spectra,pvc,145.3,2025-03-13
f_052,fixed_spectra,pvc,155.9,2025-03-13
f_053,fixed_spectra,pvc,165.6,2025-03-13
f_054,fixed_spectra,pvc,176.9,2025-03-13
f_055,fixed_spectra,pvc,214.9,2025-03-13
f_056,fixed_spectra,pvc,224.2,2025-03-13
f_057,fixed_spectra,pvc,240.3,2025-03-13
f_058,fixed_spectra,pvc,247.9,2025-03-13
f_059,fixed_spectra,pvc,259.4,2025-03-13
f_060,fixed_spectra,pvc,269.8,2025-03-13
f_061,fixed_spectra,pvc,29.8,2025-03-13
f_062,fixed_spectra,pvc,40.2,2025-03-13
f_063,fixed_spectra,pvc,51.0,2025-03-13
f_064,fixed_spectra,pvc,63.3,2025-03-13
f_065,fixed_spectra,pvc,75.4,2025-03-13
f_066,fixed_spectra,pvc,85.2,2025-03-13
f_067,fixed_spectra,pvc,123.3,2025-03-13
f_068,fixed_spectra,pvc,133.7,2025-03-13
f_069,fixed_spectra,pvc,144.7,2025-03-13
f_070,fixed_spectra,pvc,156.2,2025-03-13
f_071,fixed_spectra,pvc,166.1,2025-03-13
f_072,fixed_spectra,pvc,178.1,2025-03-13
f_073,fixed_spectra,pvc,217.1,2025-03-13
f_074,fixed_spectra,pvc,228.8,2025-03-13
f_075,fixed_spectra,pvc,239.7,2025-03-13
f_076,fixed_spectra,pvc,247.9,2025-03-13
f_077,fixed_spectra,pvc,260.3,2025-03-13
f_078,fixed_spectra,pvc,269.7,2025-03-13
f_079,fixed_spectra,pe,33.5,2025-03-14
f_080,fixed_spectra,pe,42.2,2025-03-14
f_081,fixed_spectra,pe,54.2,2025-03-14
f_082,fixed_spectra,pe,64.8,2025-03-14
f_083,fixed_spectra,pe,75.0,2025-03-14
f_084,fixed_spectra,pe,85.9,2025-03-14
f_085,fixed_spectra,pe,123.4,2025-03-14
f_086,fixed_spectra,pe,137.6,2025-03-14
f_087,fixed_spectra,pe,144.7,2025-03-14
f_088,fixed_spectra,pe,157.7,2025-03-14
f_089,fixed_spectra,pe,166.4,2025-03-14
f_090,fixed_spectra,pe,178.2,2025-03-14
f_091,fixed_spectra,pe,217.1,2025-03-14
f_092,fixed_spectra,pe,228.3,2025-03-14
f_093,fixed_spectra,pe,239.6,2025-03-14
f_094,fixed_spectra,pe,249.6,2025-03-14
f_095,fixed_spectra,pe,260.6,2025-03-14
f_096,fixed_spectra,pe,270.9,2025-03-14
f_097,fixed_spectra,pe,35.7,2025-03-14
f_098,fixed_spectra,pe,43.9,2025-03-14
f_099,fixed_spectra,pe,53.5,2025-03-14
f_100,fixed_spectra,pe,64.3,2025-03-14
f_101,fixed_spectra,pe,75.6,2025-03-14
f_102,fixed_spectra,pe,86.5,2025-03-14
f_103,fixed_spectra,pe,123.3,2025-03-14
f_104,fixed_spectra,pe,135.5,2025-03-14
f_105,fixed_spectra,pe,145.5,2025-03-14
f_106,fixed_spectra,pe,159.6,2025-03-14
f_107,fixed_spectra,pe,166.5,2025-03-14
f_108,fixed_spectra,pe,177.1,2025-03-14
f_109,fixed_spectra,pe,217.1,2025-03-14
f_110,fixed_spectra,pe,228.4,2025-03-14
f_111,fixed_spectra,pe,240.0,2025-03-14
f_112,fixed_spectra,pe,250.8,2025-03-14
f_113,fixed_spectra,pe,259.7,2025-03-14
f_114,fixed_spectra,pe,270.8,2025-03-14
f_115,fixed_spectra,pet,33.2,2025-03-17
f_116,fixed_spectra,pet,43.7,2025-03-17
f_117,fixed_spectra,pet,55.2,2025-03-17
f_118,fixed_spectra,pet,65.2,2025-03-17
f_119,fixed_spectra,pet,75.1,2025-03-17
f_120,fixed_spectra,pet,87.0,2025-03-17
f_121,fixed_spectra,pet,123.3,2025-03-17
f_122,fixed_spectra,pet,136.7,2025-03-17
f_123,fixed_spectra,pet,146.8,2025-03-17
f_124,fixed_spectra,pet,159.1,2025-03-17
f_125,fixed_spectra,pet,169.1,2025-03-17
f_126,fixed_spectra,pet,177.5,2025-03-17
f_127,fixed_spectra,pet,217.7,2025-03-17
f_128,fixed_spectra,pet,228.4,2025-03-17
f_129,fixed_spectra,pet,239.4,2025-03-17
f_130,fixed_spectra,pet,250.9,2025-03-17
f_131,fixed_spectra,pet,259.6,2025-03-17
f_132,fixed_spectra,pet,270.2,2025-03-17
f_133,fixed_spectra,pet,32.1,2025-03-17
f_134,fixed_spectra,pet,44.0,2025-03-17
f_135,fixed_spectra,pet,52.6,2025-03-17
f_136,fixed_spectra,pet,64.5,2025-03-17
f_137,fixed_spectra,pet,75.2,2025-03-17
f_138,fixed_spectra,pet,87.2,2025-03-17
f_139,fixed_spectra,pet,123.2,2025-03-17
f_140,fixed_spectra,pet,136.8,2025-03-17
f_141,fixed_spectra,pet,147.1,2025-03-17
f_142,fixed_spectra,pet,158.2,2025-03-17
f_143,fixed_spectra,pet,169.4,2025-03-17
f_144,fixed_spectra,pet,177.7,2025-03-17
f_145,fixed_spectra,pet,219.0,2025-03-17
f_146,fixed_spectra,pet,229.5,2025-03-17
f_147,fixed_spectra,pet,239.6,2025-03-17
f_148,fixed_spectra,pet,250.1,2025-03-17
f_149,fixed_spectra,pet,263.5,2025-03-17
f_150,fixed_spectra,pet,271.9,2025-03-17
f_151,fixed_spectra,ps,32.4,2025-03-17
f_152,fixed_spectra,ps,43.9,2025-03-17
f_153,fixed_spectra,ps,53.2,2025-03-17
f_154,fixed_spectra,ps,66.0,2025-03-17
f_155,fixed_spectra,ps,75.7,2025-03-17
f_156,fixed_spectra,ps,87.4,2025-03-17
f_157,fixed_spectra,ps,122.9,2025-03-17
f_158,fixed_spectra,ps,135.4,2025-03-17
f_159,fixed_spectra,ps,146.9,2025-03-17
f_160,fixed_spectra,ps,158.1,2025-03-17
f_161,fixed_spectra,ps,168.8,2025-03-17
f_162,fixed_spectra,ps,179.0,2025-03-17
f_163,fixed_spectra,ps,219.4,2025-03-17
f_164,fixed_spectra,ps,229.4,2025-03-17
f_165,fixed_spectra,ps,239.3,2025-03-17
f_166,fixed_spectra,ps,250.9,2025-03-17
f_167,fixed_spectra,ps,263.0,2025-03-17
f_168,fixed_spectra,ps,271.1,2025-03-17
f_169,fixed_spectra,ps,32.4,2025-03-17
f_170,fixed_spectra,ps,43.9,2025-03-17
f_171,fixed_spectra,ps,53.2,2025-03-17
f_172,fixed_spectra,ps,66.0,2025-03-17
f_173,fixed_spectra,ps,75.7,2025-03-17
f_174,fixed_spectra,ps,87.4,2025-03-17
f_175,fixed_spectra,ps,122.9,2025-03-17
f_176,fixed_spectra,ps,135.4,2025-03-17
f_177,fixed_spectra,ps,146.9,2025-03-17
f_178,fixed_spectra,ps,158.1,2025-03-17
f_179,fixed_spectra,ps,168.8,2025-03-17
f_180,fixed_spectra,ps,179.0,2025-03-17
f_181,fixed_spectra,ps,219.4,2025-03-17
f_182,fixed_spectra,ps,229.4,2025-03-17
f_183,fixed_spectra,ps,239.3,2025-03-17
f_184,fixed_spectra,ps,250.9,2025-03-17
f_185,fixed_spectra,ps,263.0,2025-03-17
f_186,fixed_spectra,ps,271.1,2025-03-17
f_187,fixed_spectra,ps_red,29.5,2025-03-18
f_188,fixed_spectra,ps_red,42.5,2025-03-18
f_189,fixed_spectra,ps_red,53.2,2025-03-18
f_190,fixed_spectra,ps_red,64.9,2025-03-18
f_191,fixed_spectra,ps_red,75.4,2025-03-18
f_192,fixed_spectra,ps_red,87.5,2025-03-18
f_193,fixed_spectra,ps_red,123.6,2025-03-18
f_194,fixed_spectra,ps_red,137.1,2025-03-18
f_195,fixed_spectra,ps_red,146.9,2025-03-18
f_196,fixed_spectra,ps_red,158.3,2025-03-18
f_197,fixed_spectra,ps_red,168.6,2025-03-18
f_198,fixed_spectra,ps_red,178.7,2025-03-18
f_199,fixed_spectra,ps_red,218.1,2025-03-18
f_200,fixed_spectra,ps_red,227.4,2025-03-18
f_201,fixed_spectra,ps_red,239.7,2025-03-18
f_202,fixed_spectra,ps_red,250.9,2025-03-18
f_203,fixed_spectra,ps_red,261.8,2025-03-18
f_204,fixed_spectra,ps_red,271.7,2025-03-18
f_205,fixed_spectra,pp,28.6,2025-03-18
f_206,fixed_spectra,pp,45.3,2025-03-18
f_207,fixed_spectra,pp,51.1,2025-03-18
f_208,fixed_spectra,pp,62.2,2025-03-18
f_209,fixed_spectra,pp,72.2,2025-03-18
f_210,fixed_spectra,pp,87.5,2025-03-18
f_211,fixed_spectra,pp,123.3,2025-03-18
f_212,fixed_spectra,pp,137.8,2025-03-18
f_213,fixed_spectra,pp,146.9,2025-03-18
f_214,fixed_spectra,pp,158.9,2025-03-18
f_215,fixed_spectra,pp,169.3,2025-03-18
f_216,fixed_spectra,pp,178.8,2025-03-18
f_217,fixed_spectra,pp,217.5,2025-03-18
f_218,fixed_spectra,pp,230.1,2025-03-18
f_219,fixed_spectra,pp,239.5,2025-03-18
f_220,fixed_spectra,pp,250.9,2025-03-18
f_221,fixed_spectra,pp,262.0,2025-03-18
f_222,fixed_spectra,pp,273.2,2025-03-18
f_223,fixed_spectra,pp,28.7,2025-03-18
f_224,fixed_spectra,pp,45.4,2025-03-18
